t,g,z_hat,Ω,E,v_1,L_tilde,entry_residual,λ_ii,S,z_bar,c,π_min,log_M,U,π_rat,L_tilde_a,L_tilde_x,L_tilde_E,w,r
-20.0,0.006957088129667934,1.9806967954735208,0.9633490175041199,0.02,4.950471407210233,0.2319424283503491,-5.782041512247815e-13,0.8960256258137844,0.10002889657202586,1.3439474944545302,1.0322290490153792,0.18600449464971056,-0.13914176259335867,16.5258643514572,1.8110075391436142,0.09636273923468235,0.020792800283980797,0.11478688883168592,0.9203233827273339,0.04845708812966793
-15.0,0.006957088129667934,1.9806967954735208,0.9633490175041199,0.02,4.950471407210233,0.2319424283503491,-5.782041512247815e-13,0.8960256258137844,0.10002889657202586,1.3439474944545302,1.0322290490153792,0.18600449464971056,-0.10435632194501901,16.5258643514572,1.8110075391436142,0.09636273923468235,0.020792800283980797,0.11478688883168592,0.9203233827273339,0.04845708812966793
-10.0,0.006957088129667934,1.9806967954735208,0.9633490175041199,0.02,4.950471407210233,0.2319424283503491,-5.782041512247815e-13,0.8960256258137844,0.10002889657202586,1.3439474944545302,1.0322290490153792,0.18600449464971056,-0.06957088129667933,16.5258643514572,1.8110075391436142,0.09636273923468235,0.020792800283980797,0.11478688883168592,0.9203233827273339,0.04845708812966793
-5.0,0.006957088129667934,1.9806967954735208,0.9633490175041199,0.02,4.950471407210233,0.2319424283503491,-5.782041512247815e-13,0.8960256258137844,0.10002889657202586,1.3439474944545302,1.0322290490153792,0.18600449464971056,-0.03478544064833967,16.5258643514572,1.8110075391436142,0.09636273923468235,0.020792800283980797,0.11478688883168592,0.9203233827273339,0.04845708812966793
-1.0,0.006957088129667934,1.9806967954735208,0.9633490175041199,0.02,4.950471407210233,0.2319424283503491,-5.782041512247815e-13,0.8960256258137844,0.10002889657202586,1.3439474944545302,1.0322290490153792,0.18600449464971056,-0.006957088129667934,16.5258643514572,1.8110075391436142,0.09636273923468235,0.020792800283980797,0.11478688883168592,0.9203233827273339,0.04845708812966793
0.0,0.00788950302948247,1.8670371833530088,0.9633490175041199,0.015864076866264256,4.950471407214765,0.21984868983059797,0.0,0.8624335269344253,0.10469264941791823,1.3677945679197796,1.0670867242052071,0.1818501681250326,0.0,20.111088910346652,2.209357808533027,0.1008555609566548,0.0279437274906834,0.09104940138325977,0.936653648165712,0.04750518776013012
0.25,0.007895820214797199,1.866869311341414,0.9628757800416513,0.015910902378721017,4.950471407214765,0.22005229526852138,0.0,0.8624033411733851,0.10472424671542543,1.3675072753796949,1.0665841606359912,0.1818856951743758,0.0019731656055494247,20.20301217497383,2.2094701422912943,0.10083644074538961,0.027942564702069378,0.09127328982106242,0.936456912769862,0.04752236828669313
0.5,0.007902127810100773,1.866701739446515,0.9624048318427806,0.015957452660321156,4.950471407214765,0.22025447838053508,0.0,0.862373201117963,0.10475579604561484,1.3672213555655015,1.0660847290646938,0.1819211692361955,0.003947909308569744,20.29505385427317,2.20958231344003,0.10081748427783657,0.027941440337244928,0.09149555376545361,0.936261117404587,0.04753952586351794
0.75,0.007908425894985116,1.866534465502799,0.9619361688251908,0.01600372758452754,4.950471407214765,0.22045524263727384,0.0,0.8623431064203085,0.10478729780658937,1.3669368072702128,1.0655884217536375,0.1819565898257886,0.005924228716393498,20.387213478862744,2.2096943240223257,0.10079869179361489,0.027940354520266598,0.09171619632339234,0.936066261243353,0.04755664904851036
1.0,0.00791471455678851,1.8663674866713091,0.9614697790088094,0.01604972721413071,4.950471407214765,0.22065459084120992,0.0,0.8623130566108819,0.10481875243519756,1.366653624200959,1.0650952279312398,0.18199195808443666,0.007902121471910169,20.479490623621203,2.2098061752339375,0.10078006273984849,0.027939307195797507,0.09193522090556393,0.9358723399768585,0.04757374803122541
1.25,0.007920993758342152,1.8662008039405549,0.9610056570466219,0.016095451542065323,4.950471407214765,0.22085252599423116,0.0,0.8622830519086137,0.1048501597455286,1.3663718038906918,1.0646051395541383,0.18202727400080418,0.009881585207000788,20.57188465993157,2.209917866008487,0.10076159665769498,0.027938298214019365,0.09215263112251683,0.9356793519156904,0.04759081939856223
1.5,0.007927263640571591,1.866034413427297,0.9605437961918092,0.016140900493738366,4.950471407214765,0.22104905158063315,0.0,0.8622530916552517,0.1048815204424638,1.3660913435878022,1.0641181477152057,0.18206253753256987,0.011862617573818603,20.664395431766238,2.2100293994780977,0.10074329379617301,0.027937327748789008,0.09236843003567112,0.9354872951755714,0.04760785875659281
1.75,0.007933524275006406,1.8658683127845181,0.960084185280814,0.016186074099202096,4.950471407214765,0.22124417018520143,0.0,0.862223175468457,0.10491283488377984,1.3658122374380224,1.0636342423372538,0.18209774974574075,0.013845216257927378,20.7570222710656,2.2101407764910084,0.10072515360489433,0.02793639572997838,0.0925826208503287,0.9352961657475504,0.04762487665359032
2.0,0.007939775627027407,1.8657025029000514,0.9596268208395563,0.01623097231588764,4.950471407214765,0.2214378849622613,0.0,0.8621933035482444,0.10494410289631848,1.3655344841868353,1.0631534161654699,0.18213291024135375,0.01582937893737857,20.849765399751497,2.2102519964115483,0.10070717582825336,0.02793550206836656,0.09279520706564139,0.9351059627725452,0.047641861720715696
2.25,0.007946017843149614,1.8655369796702315,0.9591716921200192,0.016275595155603343,4.950471407214765,0.22163019891253538,0.0,0.8621634751951316,0.10497532521291854,1.365258078463175,1.0626756589664357,0.18216801984845565,0.017815103309337662,20.94262281589689,2.2103630618047543,0.10068936031532438,0.027934646836409727,0.09300619176080123,0.9349166825724973,0.047658820198649414
2.5,0.007952250965929511,1.8653717416098776,0.958718792031868,0.016319942603948152,4.950471407214765,0.22182111500117768,0.0,0.8621336901808457,0.10500650204643903,1.3649830169375814,1.0622009621628157,0.18220307881307848,0.0198023871020306,21.035595299798896,2.210473973506625,0.10067170679745391,0.027933830016392023,0.09321557818733173,0.9347283228674218,0.04767575578808961
2.75,0.007958474984494037,1.8652067890494182,0.9582681156963805,0.016364014624165396,4.950471407214765,0.2220106361543557,0.0,0.862103948604183,0.10503763334249507,1.3647092974828652,1.0617293181829304,0.18223808704138675,0.02179122803333343,21.128682408309402,2.2105847310958,0.10065421498032005,0.027933051518594796,0.09342336965544085,0.9345408822006381,0.047692656909543676
3.0,0.0079646900775137,1.8650421168367164,0.9578196512069,0.016407811241975018,4.950471407214765,0.22219876531501584,0.0,0.8620742495750299,0.10506871999476083,1.3644369140765826,1.0612607164185357,0.18227304556535429,0.023781623851692607,21.221883377943076,2.2106953378674916,0.10063688473813727,0.0279323114586638,0.09362956911821474,0.9343543564480302,0.04770953675724565
3.25,0.007970896211044484,1.8648777257919285,0.9573733945170166,0.0164513324162515,4.950471407214765,0.22238550536628393,0.0,0.8620445932797774,0.10509976183345511,1.3641658650547208,1.0607951497510928,0.18230795416659645,0.025773572322160022,21.315197818070885,2.2108057930935594,0.10061971574942491,0.027931609733506047,0.09383417988335298,0.9341687444700965,0.04772638839666724
3.5,0.007977093491816625,1.8647136128553086,0.9569293372377526,0.016494578117239544,4.950471407214765,0.22257085918342634,0.0,0.8620149792047105,0.10513075939242121,1.363896146407428,1.0603326092645624,0.18234281330897917,0.027767071220020367,21.408625511826642,2.2109160987780627,0.10060270790869127,0.027930946403609908,0.09403720487112517,0.9339840435209258,0.04774320996143822
3.75,0.007983281953680326,1.8645497769115007,0.9564874699830027,0.01653754842153113,4.950471407214765,0.22275482948806308,0.0,0.8619854071864812,0.10516171284097105,1.3636277532052834,1.05987308555485,0.18237762375974012,0.029762118328810615,21.50216570529448,2.2110262549920887,0.10058586065433944,0.027930321354164317,0.0942386474795593,0.9338002502248947,0.04776001061443333
4.0,0.007989461674187369,1.8643862158352085,0.9560477892002501,0.016580243204754885,4.950471407214765,0.2229374194674883,0.0,0.8619558768791159,0.10519262256700318,1.3633606844704487,1.0594165716711783,0.1824123850287887,0.031758711476523184,21.59581749750653,2.211136263779814,0.10056917424535973,0.027929734715869348,0.09443851050625923,0.9336173639123876,0.047776778551818756
4.25,0.007995632759180053,1.8642229264461938,0.9556102832809593,0.016622662526828355,4.950471407214765,0.22311863166571458,0.0,0.8619263877456455,0.1052234890999196,1.3630949340681413,1.0589630575483902,0.18244709827530348,0.033756848460519524,21.68958201016072,2.2112461266469072,0.1005526482265851,0.02792918646276407,0.09463679697636541,0.93343538038236,0.04779352370666602
4.5,0.008001795173328054,1.8640599096447334,0.9551749468970201,0.016664806388990597,4.950471407214765,0.22329846874340376,0.0,0.8618969399856563,0.10525431226300505,1.3628304994399585,1.0585125357582077,0.18248176359190987,0.03575652711226193,21.783457046133538,2.211355842530364,0.10053628212649822,0.027928676446074975,0.09483351017083057,0.93325429788284,0.047810243498514884
4.75,0.008007949054250259,1.8638971616282467,0.9547417740250765,0.01670667471908449,4.950471407214765,0.22347693393129406,0.0,0.8618675329489907,0.10528509274460174,1.3625673781816539,1.058064998230816,0.18251638089193745,0.037757745333338165,21.877443433994642,2.2114654145690644,0.10052007622537577,0.0279282048487374,0.09502865285718087,0.933074114767421,0.04782693250047028
5.0,0.008014094493280704,1.8637346796569079,0.9543107535159454,0.016748267549699148,4.950471407214765,0.22365402952434282,0.0,0.8618381661768236,0.10531583100154422,1.3623055643733046,1.0576204354577812,0.18255095133149982,0.039760500944476355,21.971539902097742,2.2115748439006295,0.10050403004024162,0.027927771623677,0.0952222278604242,0.9328948269821921,0.047843601773380484
5.25,0.008020231460879717,1.863572464457871,0.9538818821615754,0.016789584838755662,4.950471407214765,0.22382975838403918,0.0,0.8618088398366304,0.10534652688608098,1.3620450568470577,1.057178840864806,0.18258547455069332,0.041764791860684235,22.06574575601922,2.2116841300129515,0.10048814334527993,0.027927376695814594,0.09541423834294464,0.9327164337274177,0.04786024055657869
5.5,0.008026360100115216,1.8634105120388542,0.9534551498832363,0.01683062659858107,4.950471407214765,0.2240041232187796,0.0,0.8617795532424338,0.1053771811138091,1.3617858505328717,1.0567402050725156,0.18261995136136666,0.0437706159638314,22.160062164616,2.211793275427858,0.10047241601313979,0.027927020142307774,0.09560468706333203,0.9325389315311785,0.04787685379152182
5.75,0.008032480474414707,1.8632488204668787,0.9530305494560347,0.016871392817356716,4.950471407214765,0.22417712670252105,0.0,0.8617503060799938,0.10540779400198029,1.3615279419560498,1.0563045200031458,0.1826543821191619,0.04577797124274411,22.2544866987866,2.2119022812987272,0.10045684783465579,0.02792670196901708,0.09579357689884817,0.9323623180140325,0.047893446470911
6.0,0.008038592568446459,1.8630873901316174,0.9526080766167258,0.016911883456009493,4.950471407214765,0.22434877147231974,0.0,0.8617210984549543,0.10543836547390831,1.3612713292758045,1.055871778912286,0.18268876671198475,0.04778685556376877,22.349020616961056,2.2120111471908723,0.10044143853571118,0.027926422094049073,0.09598091084255946,0.9321865919154249,0.04791000625372394
6.25,0.008044696573400963,1.8629262156542474,0.9521877196430583,0.016952098542353716,4.950471407214765,0.22451906017605222,0.0,0.8616919294288868,0.10546889648588974,1.3610160064962586,1.0554419718331547,0.1827231062363524,0.0497972668610277,22.4436622323823,2.212119876579543,0.1004261880381691,0.027926180648926942,0.09616669148895618,0.9320117491294316,0.0479265462680273
6.5,0.008050792466510637,1.8627652975438644,0.951769474575622,0.01699203803476784,4.950471407214765,0.22468799540387183,0.0,0.8616627991283033,0.1054993869240457,1.3607619719440691,1.0550150922461365,0.18275740054223336,0.05180920311172021,22.538411280511443,2.2122284689646703,0.10041109606074922,0.027925977550853926,0.09635092179226869,0.9318377885101624,0.047943060697536385
6.75,0.008056880348931008,1.8626046329430834,0.9513533338096615,0.01703170189833796,4.950471407214765,0.22485557973920034,0.0,0.8616337070701156,0.10552983729433592,1.3605092219829868,1.054591132133474,0.18279165005332515,0.05382266236978298,22.6332678037768,2.212336926245249,0.10039616252635762,0.027925812862160504,0.0965336043506822,0.9316647075675457,0.04795954616887933
7.0,0.008062960274285835,1.8624442202392657,0.9509392878183006,0.017071090212278574,4.950471407214765,0.22502181560747297,0.0,0.8616046529961338,0.10556024786497568,1.3602577515387195,1.054170082593338,0.18282585565055248,0.055837642665882176,22.72823094053215,2.212445248847993,0.10038138692664327,0.027925686494950797,0.09671474218587894,0.9314925028267512,0.04797601282287048
7.25,0.008069032316896207,1.8622840573713608,0.9505273334466048,0.017110202851678254,4.950471407214765,0.22518670588671394,0.0,0.8615756365665772,0.10559061900770425,1.3600075597826198,1.0537519374141435,0.18286001686859205,0.05785414191326537,22.82330034222265,2.2125534387712698,0.1003667695223695,0.02792559858161061,0.09689433778273382,0.9313211737203283,0.04799244886214234
7.5,0.008075096597088842,1.8621241408818592,0.9501174595920059,0.01714903986701493,4.950471407214765,0.22535025286204793,0.0,0.8615466571881449,0.10562095132437177,1.3597586408286948,1.053336687286594,0.18289413485864292,0.05987215814919686,22.918475618450067,2.2126614978012427,0.10035230995200302,0.027925549125462617,0.09707239378458228,0.931150716217601,0.04800886358920181
7.75,0.008081153086348785,1.8619644714389483,0.9497096608483601,0.017187601261221444,4.950471407214765,0.2255124588509865,0.0,0.8615177150147801,0.10565124467235215,1.3595109919904114,1.05292432535171,0.1829282098301215,0.06189168950693296,23.013756283451976,2.212769424992513,0.10033800774598667,0.027925537987253276,0.09724891311774657,0.9309811284788554,0.04802525531786403
8.0,0.008087201918020662,1.8618050453275081,0.9493039318011581,0.01722588695992279,4.950471407214765,0.22567332680245694,0.0,0.8614888094056754,0.10568149971860855,1.3592646111457578,1.0525148443436467,0.18296224167790312,0.06391273412049309,23.1091418546631,2.212877223462128,0.10032386320151808,0.02792556535593513,0.09742389824500376,0.9308124090509563,0.04804161792184672
8.25,0.008093243197958006,1.8616458594768932,0.948900261469458,0.01726389699278981,4.950471407214765,0.2258328587228406,0.0,0.861459939836183,0.10571171699259915,1.3590194924112529,1.0521082353799558,0.1829962316192765,0.06593528992721337,23.204631873622795,2.2129848946124158,0.10030987589466268,0.027925631208007274,0.09759735162017064,0.9306445539049477,0.04805796256792761
8.5,0.00809927690283766,1.8614869143704431,0.9484986467838467,0.01730163131427969,4.950471407214765,0.22599105716521165,0.0,0.8614311064258366,0.10574189637766622,1.358775634641606,1.051704492518618,0.18303017935688334,0.0679593550614023,23.300225820756648,2.2130924381079957,0.10029604562257415,0.02792573548564764,0.09776927605698987,0.930477562256545,0.04807427933218927
8.75,0.008105303169000093,1.8613282061285588,0.9480990783459173,0.017339089931935406,4.950471407214765,0.22614792453391033,0.0,0.8614023085024622,0.10577203855575747,1.3585330330863,1.051303607243075,0.1830640856829571,0.06998492772039165,23.395923357556814,2.2131998564282704,0.10028237226948249,0.027925878271754034,0.0979396739926738,0.9303114308526356,0.04809057176635787
9.0,0.008111322075820724,1.8611697323405845,0.9477015487593499,0.01737627283529124,4.950471407214765,0.22630346319759823,0.0,0.8613735456597693,0.1058021439238929,1.3582916841127,1.0509055719654978,0.183097951071377,0.07201200594881253,23.491723954336408,2.2133071510661635,0.10026885565873293,0.027926059597507595,0.0981085479413577,0.9301461572056235,0.0481068460105706
9.25,0.008117333599456402,1.8610114933542672,0.947306054247678,0.01741317998292022,4.950471407214765,0.22645767549047788,0.0,0.8613448179918255,0.10583221236281383,1.358051586105204,1.050510380719663,0.18313177541338366,0.07404058808763371,23.587627097087484,2.2134143216426594,0.1002554955057195,0.027926279393360058,0.0982759005913983,0.9299817402091586,0.04812308942305425
9.5,0.008123337932209342,1.8608534838913693,0.946912583462863,0.017449811402806145,4.950471407214765,0.22661056374834818,0.0,0.8613161245709614,0.10586224483437749,1.3578127331860983,1.050118024254111,0.18316555984818414,0.0760706722134931,23.683631698181827,2.213521371551205,0.10024229174729851,0.02792653778847078,0.09844173421257887,0.9298181758382343,0.04813931458901759
9.75,0.008129335015634577,1.8606957034517388,0.9465211324097969,0.01748616708937679,4.950471407214765,0.226762130299557,0.0,0.8612874653364904,0.10589224104625383,1.3575751236918745,1.0497284966018203,0.18319930428233863,0.0781022563393701,23.779739383748037,2.2136283011375655,0.10022924390851135,0.027926834769732706,0.09860605162131292,0.9296554629536949,0.04815551639255719
10.0,0.008135324942739231,1.8605381507488674,0.9461316942034987,0.017522247015272614,4.950471407214765,0.22691237740825201,0.0,0.8612588400847144,0.10592220146364589,1.3573387541483086,1.049341790496161,0.18323300916795207,0.0801353393170556,23.875947522349293,2.2137351109496826,0.1002163519245636,0.0279271702974945,0.09876885518619392,0.9294935991764225,0.04817321599791477
10.5,0.008147239234642537,1.8602249220838463,0.9453588246386831,0.017593861306720606,4.950471407214765,0.22721020826980873,0.0,0.8612019086367908,0.10598179436888784,1.3568695601899938,1.0485749448242616,0.18330004429274063,0.084205981864012,24.068665982209883,2.2139475612354644,0.10019082455767042,0.027927866697010282,0.099091517015128,0.9291722992948027,0.04820539475954105
11.0,0.008159125712082172,1.8599125886130035,0.9445939194178441,0.017664375958256113,4.950471407214765,0.22750280408006976,0.0,0.8611451108345334,0.10604124815174543,1.3564052811905278,1.0478192762506673,0.18336692349883013,0.08828257153042594,24.261784555565196,2.214159540790333,0.10016591821161742,0.02792871665327173,0.09940816921518059,0.9288543651336238,0.048237484582495924
11.5,0.008170987531027215,1.8596011341540917,0.9438369260387384,0.017733788643215044,4.950471407214765,0.2277901825337025,0.0,0.8610884439659066,0.10610057859774472,1.355945891555014,1.0470747294118734,0.18343364985843102,0.09236510308208659,24.45529944927778,2.214371059646709,0.10014164395462692,0.027929720351768317,0.09971881822730727,0.9285397791657267,0.04826948699693609
12.0,0.00818281850404806,1.8592905421792558,0.9430877897537414,0.01780210497121488,4.950471407214765,0.2280723608962475,0.0,0.8610319052495172,0.1061597547586004,1.3554913641309054,1.0463412485390948,0.18350022700346968,0.09645355677839734,24.649206773062396,2.2145821276814677,0.10011796847608768,0.02793087793177732,0.1000235144883825,0.9282285227972867,0.04830139532424779
12.5,0.008194619911606107,1.858980792650725,0.9423464549787116,0.017869324330512575,4.950471407214765,0.22834935633435255,0.0,0.8609754912580329,0.10621878303892422,1.3550416715558307,1.0456187780498316,0.1835666586522543,0.10054791686860164,24.843502985306916,2.21479275778237,0.10009489364888315,0.027932189765760337,0.10032227291970908,0.9279205772907934,0.04833321321099829
13.0,0.008206406346339686,1.858671866469348,0.9416128674034526,0.0179354348355349,4.950471407214765,0.2286211852765483,0.0,0.8609191987274141,0.10627773642817465,1.3545967870682885,1.0449072640369323,0.18363294852310605,0.10464817200614017,25.038184090239326,2.2150029620656557,0.1000724841392819,0.02793365618783061,0.10061504494943578,0.927615924320207,0.048364957780183924
13.5,0.00821816907073793,1.8583637473742414,0.9408869755529732,0.01800044411525344,4.950471407214765,0.22888786380069834,0.0,0.8608630249037984,0.10633657122306978,1.3541566852939848,1.04420665434561,0.18369910001024717,0.10875431955184996,25.233246357227355,2.2152127505056782,0.10005069488874745,0.02793527739744366,0.10090189151450721,0.9273145465094348,0.0483966189659077
14.0,0.008229890912727472,1.858056418146936,0.940168726236519,0.018064366963399824,4.950471407214765,0.22914940769489583,0.0,0.8608069668522861,0.10639520153233308,1.353721339735697,1.043516896551321,0.18376511690836958,0.11286633674398072,25.428685898730038,2.2154221335940893,0.10002944110233132,0.027937053609822408,0.10118291298274208,0.9270164257134127,0.04842817957447191
14.5,0.008241594380752039,1.8577498581142697,0.9394580658376412,0.01812718488444424,4.950471407214765,0.22940583262868866,0.0,0.8607510210007047,0.10645373993869835,1.3532907239572303,1.042837938639141,0.18383100302367425,0.11698420670158484,25.62449883555897,2.2156311248597436,0.10000882462399281,0.027938985282109266,0.1014580227225866,0.9267215438288677,0.04845966322326147
15.0,0.008253297664916623,1.8574440463720037,0.9387549404859055,0.018188882959028003,4.950471407214765,0.22965715354185065,0.0,0.860695183726798,0.10651227742543276,1.3528648112723916,1.0421697295886412,0.18389676241158162,0.12110793019498244,25.820681248845872,2.2158397378588592,0.09998892665553039,0.027941072876265287,0.10172715401005497,0.9264298825813304,0.048491091122759726
15.5,0.008264962650831518,1.8571389658443171,0.9380592991277075,0.01824949342999558,4.950471407214765,0.22990338476574584,0.0,0.8606394520999229,0.10657062335198189,1.3524435762471156,1.0415122203632137,0.1839623989045992,0.1252374984513641,26.017229465594887,2.2160479830501245,0.09996956424916303,0.027943316645111457,0.10199050387147138,0.9261414245537773,0.048522424851355064
16.0,0.008276596333696939,1.8568345981552845,0.9373710908872116,0.01830901072560004,4.950471407214765,0.23014454069823326,0.0,0.8605838229452555,0.10662881270693815,1.3520269936297913,1.0408653621692499,0.18402791626645668,0.12937288854882062,26.21413935498262,2.2162558721245276,0.09995076648711078,0.02794571693979204,0.10224805727133043,0.9258561524541281,0.04855367056187762
